P196303 2022-06-22 12:41:27,375 runWISDEM:run_wisdem:90 INFO:Started
P196303 2022-06-22 12:41:33,851 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 3
P196303 2022-06-22 12:41:33,852 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 4
P196303 2022-06-22 12:41:33,852 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 5
P196303 2022-06-22 12:41:33,853 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 6
P196303 2022-06-22 12:41:33,853 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 7
P196303 2022-06-22 12:41:33,854 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 8
P196303 2022-06-22 12:41:33,855 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 9
P196303 2022-06-22 12:41:33,855 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 10
P196303 2022-06-22 12:41:33,856 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 11
P196303 2022-06-22 12:41:33,856 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 12
P196303 2022-06-22 12:41:33,857 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 13
P196303 2022-06-22 12:41:33,857 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 14
P196303 2022-06-22 12:41:33,858 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 15
P196303 2022-06-22 12:41:33,859 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 16
P196303 2022-06-22 12:41:33,859 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 17
P196303 2022-06-22 12:41:33,860 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 18
P196303 2022-06-22 12:41:33,860 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 19
P196303 2022-06-22 12:41:33,861 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 20
P196303 2022-06-22 12:41:33,862 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 21
P196303 2022-06-22 12:41:33,862 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 22
P196303 2022-06-22 12:41:33,863 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 23
P196303 2022-06-22 12:41:33,863 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 24
P196303 2022-06-22 12:41:33,864 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 25
P196303 2022-06-22 12:41:33,864 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 26
P196303 2022-06-22 12:41:33,865 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 27
P196303 2022-06-22 12:41:33,866 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 28
P196303 2022-06-22 12:41:33,866 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 29
P196303 2022-06-22 12:41:40,780 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 3
P196303 2022-06-22 12:41:40,780 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 4
P196303 2022-06-22 12:41:40,781 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 5
P196303 2022-06-22 12:41:40,782 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 6
P196303 2022-06-22 12:41:40,782 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 7
P196303 2022-06-22 12:41:40,783 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 8
P196303 2022-06-22 12:41:40,783 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 9
P196303 2022-06-22 12:41:40,784 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 10
P196303 2022-06-22 12:41:40,785 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 11
P196303 2022-06-22 12:41:40,785 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 12
P196303 2022-06-22 12:41:40,786 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 13
P196303 2022-06-22 12:41:40,786 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 14
P196303 2022-06-22 12:41:40,787 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 15
P196303 2022-06-22 12:41:40,787 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 16
P196303 2022-06-22 12:41:40,788 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 17
P196303 2022-06-22 12:41:40,789 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 18
P196303 2022-06-22 12:41:40,789 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 19
P196303 2022-06-22 12:41:40,790 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 20
P196303 2022-06-22 12:41:40,790 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 21
P196303 2022-06-22 12:41:40,791 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 22
P196303 2022-06-22 12:41:40,792 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 23
P196303 2022-06-22 12:41:40,792 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 24
P196303 2022-06-22 12:41:40,793 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 25
P196303 2022-06-22 12:41:40,793 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 26
P196303 2022-06-22 12:41:40,794 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 27
P196303 2022-06-22 12:41:40,794 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 28
P196303 2022-06-22 12:41:40,795 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 29
P196303 2022-06-22 12:41:47,339 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 3
P196303 2022-06-22 12:41:47,340 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 4
P196303 2022-06-22 12:41:47,340 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 5
P196303 2022-06-22 12:41:47,341 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 6
P196303 2022-06-22 12:41:47,342 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 7
P196303 2022-06-22 12:41:47,342 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 8
P196303 2022-06-22 12:41:47,343 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 9
P196303 2022-06-22 12:41:47,343 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 10
P196303 2022-06-22 12:41:47,344 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 11
P196303 2022-06-22 12:41:47,344 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 12
P196303 2022-06-22 12:41:47,345 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 13
P196303 2022-06-22 12:41:47,346 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 14
P196303 2022-06-22 12:41:47,346 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 15
P196303 2022-06-22 12:41:47,347 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 16
P196303 2022-06-22 12:41:47,347 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 17
P196303 2022-06-22 12:41:47,348 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 18
P196303 2022-06-22 12:41:47,348 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 19
P196303 2022-06-22 12:41:47,349 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 20
P196303 2022-06-22 12:41:47,350 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 21
P196303 2022-06-22 12:41:47,350 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 22
P196303 2022-06-22 12:41:47,351 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 23
P196303 2022-06-22 12:41:47,351 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 24
P196303 2022-06-22 12:41:47,352 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 25
P196303 2022-06-22 12:41:47,353 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 26
P196303 2022-06-22 12:41:47,353 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 27
P196303 2022-06-22 12:41:47,354 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 28
P196303 2022-06-22 12:41:47,354 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 29
P196303 2022-06-22 12:41:53,911 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 3
P196303 2022-06-22 12:41:53,911 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 4
P196303 2022-06-22 12:41:53,912 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 5
