P207958 2023-01-03 17:30:34,624 runWISDEM:run_wisdem:90 INFO:Started
P207958 2023-01-03 17:30:39,782 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 3
P207958 2023-01-03 17:30:39,783 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 4
P207958 2023-01-03 17:30:39,783 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 5
P207958 2023-01-03 17:30:39,784 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 6
P207958 2023-01-03 17:30:39,784 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 7
P207958 2023-01-03 17:30:39,785 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 8
P207958 2023-01-03 17:30:39,786 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 9
P207958 2023-01-03 17:30:39,786 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 10
P207958 2023-01-03 17:30:39,787 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 11
P207958 2023-01-03 17:30:39,787 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 12
P207958 2023-01-03 17:30:39,788 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 13
P207958 2023-01-03 17:30:39,789 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 14
P207958 2023-01-03 17:30:39,789 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 15
P207958 2023-01-03 17:30:39,790 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 16
P207958 2023-01-03 17:30:39,790 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 17
P207958 2023-01-03 17:30:39,791 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 18
P207958 2023-01-03 17:30:39,792 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 19
P207958 2023-01-03 17:30:39,792 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 20
P207958 2023-01-03 17:30:39,793 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 21
P207958 2023-01-03 17:30:39,793 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 22
P207958 2023-01-03 17:30:39,794 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 23
P207958 2023-01-03 17:30:39,795 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 24
P207958 2023-01-03 17:30:39,795 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 25
P207958 2023-01-03 17:30:39,796 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 26
P207958 2023-01-03 17:30:39,796 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 27
P207958 2023-01-03 17:30:39,797 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 28
P207958 2023-01-03 17:30:39,798 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 29
P207958 2023-01-03 17:30:45,985 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 3
P207958 2023-01-03 17:30:45,986 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 4
P207958 2023-01-03 17:30:45,987 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 5
P207958 2023-01-03 17:30:45,987 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 6
P207958 2023-01-03 17:30:45,988 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 7
P207958 2023-01-03 17:30:45,989 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 8
P207958 2023-01-03 17:30:45,989 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 9
P207958 2023-01-03 17:30:45,990 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 10
P207958 2023-01-03 17:30:45,990 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 11
P207958 2023-01-03 17:30:45,991 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 12
P207958 2023-01-03 17:30:45,992 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 13
P207958 2023-01-03 17:30:45,992 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 14
P207958 2023-01-03 17:30:45,993 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 15
P207958 2023-01-03 17:30:45,993 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 16
P207958 2023-01-03 17:30:45,994 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 17
P207958 2023-01-03 17:30:45,995 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 18
P207958 2023-01-03 17:30:45,995 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 19
P207958 2023-01-03 17:30:45,996 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 20
P207958 2023-01-03 17:30:45,996 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 21
P207958 2023-01-03 17:30:45,997 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 22
P207958 2023-01-03 17:30:45,998 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 23
P207958 2023-01-03 17:30:45,998 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 24
P207958 2023-01-03 17:30:45,999 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 25
P207958 2023-01-03 17:30:45,999 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 26
P207958 2023-01-03 17:30:46,000 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 27
P207958 2023-01-03 17:30:46,001 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 28
P207958 2023-01-03 17:30:46,001 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 29
